FileName1,Match1,FileName2,Match2,Lines_Matched,URL
squareroot29.java,93,squareroot36.java,80,38,http://moss.stanford.edu/results/299782671/match0.html
squareroot10.java,24,squareroot33.java,43,18,http://moss.stanford.edu/results/299782671/match1.html
squareroot1.java,51,squareroot29.java,49,15,http://moss.stanford.edu/results/299782671/match2.html
squareroot26.java,37,squareroot8.java,45,12,http://moss.stanford.edu/results/299782671/match3.html
squareroot1.java,35,squareroot36.java,29,10,http://moss.stanford.edu/results/299782671/match4.html
squareroot24.java,37,squareroot8.java,32,9,http://moss.stanford.edu/results/299782671/match5.html
squareroot24.java,37,squareroot26.java,27,9,http://moss.stanford.edu/results/299782671/match6.html
squareroot34.java,47,squareroot5.java,37,9,http://moss.stanford.edu/results/299782671/match7.html
squareroot35.java,30,squareroot8.java,30,9,http://moss.stanford.edu/results/299782671/match8.html
squareroot34.java,45,squareroot8.java,30,9,http://moss.stanford.edu/results/299782671/match9.html
squareroot26.java,25,squareroot35.java,30,9,http://moss.stanford.edu/results/299782671/match10.html
squareroot26.java,25,squareroot34.java,45,9,http://moss.stanford.edu/results/299782671/match11.html
squareroot24.java,33,squareroot34.java,43,8,http://moss.stanford.edu/results/299782671/match12.html
squareroot1.java,30,squareroot24.java,33,9,http://moss.stanford.edu/results/299782671/match13.html
squareroot3.java,43,squareroot8.java,27,10,http://moss.stanford.edu/results/299782671/match14.html
squareroot26.java,22,squareroot3.java,43,10,http://moss.stanford.edu/results/299782671/match15.html
squareroot1.java,29,squareroot8.java,27,8,http://moss.stanford.edu/results/299782671/match16.html
squareroot1.java,29,squareroot26.java,22,8,http://moss.stanford.edu/results/299782671/match17.html
squareroot3.java,40,squareroot35.java,26,10,http://moss.stanford.edu/results/299782671/match18.html
squareroot1.java,25,squareroot34.java,36,7,http://moss.stanford.edu/results/299782671/match19.html
squareroot5.java,25,squareroot8.java,21,7,http://moss.stanford.edu/results/299782671/match20.html
squareroot35.java,21,squareroot5.java,25,7,http://moss.stanford.edu/results/299782671/match21.html
squareroot34.java,31,squareroot35.java,21,7,http://moss.stanford.edu/results/299782671/match22.html
squareroot26.java,17,squareroot5.java,25,7,http://moss.stanford.edu/results/299782671/match23.html
squareroot11.java,15,squareroot35.java,21,6,http://moss.stanford.edu/results/299782671/match24.html
squareroot24.java,23,squareroot5.java,23,6,http://moss.stanford.edu/results/299782671/match25.html
squareroot24.java,23,squareroot35.java,20,6,http://moss.stanford.edu/results/299782671/match26.html
squareroot33.java,17,squareroot8.java,19,5,http://moss.stanford.edu/results/299782671/match27.html
squareroot33.java,17,squareroot34.java,28,5,http://moss.stanford.edu/results/299782671/match28.html
squareroot26.java,16,squareroot33.java,17,5,http://moss.stanford.edu/results/299782671/match29.html
squareroot24.java,22,squareroot33.java,17,5,http://moss.stanford.edu/results/299782671/match30.html
squareroot22.java,22,squareroot33.java,17,10,http://moss.stanford.edu/results/299782671/match31.html
squareroot1.java,20,squareroot33.java,17,5,http://moss.stanford.edu/results/299782671/match32.html
squareroot31.java,16,squareroot36.java,15,6,http://moss.stanford.edu/results/299782671/match33.html
squareroot29.java,18,squareroot31.java,16,11,http://moss.stanford.edu/results/299782671/match34.html
squareroot36.java,15,squareroot5.java,20,7,http://moss.stanford.edu/results/299782671/match35.html
squareroot34.java,25,squareroot36.java,15,7,http://moss.stanford.edu/results/299782671/match36.html
squareroot33.java,15,squareroot5.java,20,5,http://moss.stanford.edu/results/299782671/match37.html
squareroot33.java,15,squareroot35.java,17,5,http://moss.stanford.edu/results/299782671/match38.html
squareroot3.java,26,squareroot5.java,20,8,http://moss.stanford.edu/results/299782671/match39.html
squareroot3.java,26,squareroot34.java,25,8,http://moss.stanford.edu/results/299782671/match40.html
squareroot29.java,17,squareroot5.java,20,7,http://moss.stanford.edu/results/299782671/match41.html
squareroot29.java,17,squareroot34.java,25,7,http://moss.stanford.edu/results/299782671/match42.html
squareroot22.java,19,squareroot5.java,20,12,http://moss.stanford.edu/results/299782671/match43.html
squareroot22.java,19,squareroot35.java,17,7,http://moss.stanford.edu/results/299782671/match44.html
squareroot22.java,19,squareroot3.java,26,6,http://moss.stanford.edu/results/299782671/match45.html
squareroot2.java,29,squareroot22.java,19,5,http://moss.stanford.edu/results/299782671/match46.html
