User1,FileName1,Match1,User2,FileName2,Match2,Lines_Matched,URL
delrick,delrick_Palindrome.java,59,jcary,jcary_Palindrome.java,69,28,http://moss.stanford.edu/results/565131885/match0.html
jcary,jcary_Palindrome.java,55,lhbox,lhbox_Palindrome.java,39,18,http://moss.stanford.edu/results/565131885/match1.html
relliot,relliot_Palindrome.java,42,tbassett,tbassett_Palindrome.java,52,16,http://moss.stanford.edu/results/565131885/match2.html
delrick,delrick_Palindrome.java,40,lhbox,lhbox_Palindrome.java,33,15,http://moss.stanford.edu/results/565131885/match3.html
mmarquez2,mmarquez2_Palindrome.java,31,relliot,relliot_Palindrome.java,34,14,http://moss.stanford.edu/results/565131885/match4.html
cchase,cchase_Palindrome.java,16,ssmith,ssmith_Palindrome.java,21,12,http://moss.stanford.edu/results/565131885/match5.html
ssmith,ssmith_Palindrome.java,21,tbassett,tbassett_Palindrome.java,33,6,http://moss.stanford.edu/results/565131885/match6.html
lhbox,lhbox_Palindrome.java,22,tbassett,tbassett_Palindrome.java,33,10,http://moss.stanford.edu/results/565131885/match7.html
jcary,jcary_Palindrome.java,31,tbassett,tbassett_Palindrome.java,33,9,http://moss.stanford.edu/results/565131885/match8.html
qbinkin4,qbinkin4_Palindrome.java,33,sfath1,sfath1_Palindrome.java,21,8,http://moss.stanford.edu/results/565131885/match9.html
qbinkin4,qbinkin4_Palindrome.java,33,relliot,relliot_Palindrome.java,25,7,http://moss.stanford.edu/results/565131885/match10.html
mmarquez2,mmarquez2_Palindrome.java,22,qbinkin4,qbinkin4_Palindrome.java,33,6,http://moss.stanford.edu/results/565131885/match11.html
delrick,delrick_Palindrome.java,25,whark,whark_Palindrome.java,27,9,http://moss.stanford.edu/results/565131885/match12.html
cchase,cchase_Palindrome.java,12,delrick,delrick_Palindrome.java,21,8,http://moss.stanford.edu/results/565131885/match13.html
lhbox,lhbox_Palindrome.java,17,whark,whark_Palindrome.java,22,8,http://moss.stanford.edu/results/565131885/match14.html
jcary,jcary_Palindrome.java,24,whark,whark_Palindrome.java,22,7,http://moss.stanford.edu/results/565131885/match15.html
dmell,dmell_Palindrome.java,30,zhillier,zhillier_Palindrome.java,20,7,http://moss.stanford.edu/results/565131885/match16.html
delrick,delrick_Palindrome.java,20,zhillier,zhillier_Palindrome.java,20,7,http://moss.stanford.edu/results/565131885/match17.html
delrick,delrick_Palindrome.java,20,dmell,dmell_Palindrome.java,30,7,http://moss.stanford.edu/results/565131885/match18.html
tbassett,tbassett_Palindrome.java,24,zhillier,zhillier_Palindrome.java,20,6,http://moss.stanford.edu/results/565131885/match19.html
lhbox,lhbox_Palindrome.java,16,zhillier,zhillier_Palindrome.java,20,7,http://moss.stanford.edu/results/565131885/match20.html
jcary,jcary_Palindrome.java,23,zhillier,zhillier_Palindrome.java,20,7,http://moss.stanford.edu/results/565131885/match21.html
dmell,dmell_Palindrome.java,28,tbassett,tbassett_Palindrome.java,24,6,http://moss.stanford.edu/results/565131885/match22.html
dmell,dmell_Palindrome.java,28,relliot,relliot_Palindrome.java,19,10,http://moss.stanford.edu/results/565131885/match23.html
dmell,dmell_Palindrome.java,28,lhbox,lhbox_Palindrome.java,16,7,http://moss.stanford.edu/results/565131885/match24.html
dmell,dmell_Palindrome.java,28,jcary,jcary_Palindrome.java,23,7,http://moss.stanford.edu/results/565131885/match25.html
delrick,delrick_Palindrome.java,19,tbassett,tbassett_Palindrome.java,24,6,http://moss.stanford.edu/results/565131885/match26.html
cchase,cchase_Palindrome.java,11,zhillier,zhillier_Palindrome.java,20,8,http://moss.stanford.edu/results/565131885/match27.html
cchase,cchase_Palindrome.java,11,dmell,dmell_Palindrome.java,28,8,http://moss.stanford.edu/results/565131885/match28.html
sfath1,sfath1_Palindrome.java,16,tbassett,tbassett_Palindrome.java,23,6,http://moss.stanford.edu/results/565131885/match29.html
relliot,relliot_Palindrome.java,18,ssmith,ssmith_Palindrome.java,15,8,http://moss.stanford.edu/results/565131885/match30.html
qbinkin4,qbinkin4_Palindrome.java,25,tbassett,tbassett_Palindrome.java,23,7,http://moss.stanford.edu/results/565131885/match31.html
mmarquez2,mmarquez2_Palindrome.java,17,tbassett,tbassett_Palindrome.java,23,4,http://moss.stanford.edu/results/565131885/match32.html
mmarquez2,mmarquez2_Palindrome.java,17,ssmith,ssmith_Palindrome.java,15,4,http://moss.stanford.edu/results/565131885/match33.html
lhbox,lhbox_Palindrome.java,15,sfath1,sfath1_Palindrome.java,16,7,http://moss.stanford.edu/results/565131885/match34.html
lhbox,lhbox_Palindrome.java,15,qbinkin4,qbinkin4_Palindrome.java,25,7,http://moss.stanford.edu/results/565131885/match35.html
jcary,jcary_Palindrome.java,22,sfath1,sfath1_Palindrome.java,16,6,http://moss.stanford.edu/results/565131885/match36.html
jcary,jcary_Palindrome.java,22,qbinkin4,qbinkin4_Palindrome.java,25,7,http://moss.stanford.edu/results/565131885/match37.html
eyo,eyo_Palindrome.java,19,ssmith,ssmith_Palindrome.java,15,8,http://moss.stanford.edu/results/565131885/match38.html
cchase,cchase_Palindrome.java,11,tbassett,tbassett_Palindrome.java,23,7,http://moss.stanford.edu/results/565131885/match39.html
cchase,cchase_Palindrome.java,11,lhbox,lhbox_Palindrome.java,15,7,http://moss.stanford.edu/results/565131885/match40.html
cchase,cchase_Palindrome.java,11,jcary,jcary_Palindrome.java,22,7,http://moss.stanford.edu/results/565131885/match41.html
